2016,170,1,21.5,12.1,2.27,0,0,30.9,30.6,1.6,1.2,9,43,3.6,.07,.3,-9.3
2016,170,2,17.2,21.1,1.55,0,0,29.9,30.6,.4,.3,118,35,1.5,.03,.41,-5.2
2016,170,3,16.3,23.8,1.42,0,0,29,30.6,1,.7,138,41,1.9,.04,.44,-4.5
2016,170,4,15.9,22.5,1.4,0,0,28.1,30.6,1.5,1.3,91,30,2.7,.05,.41,-5.5
2016,170,5,14.5,26.3,1.22,0,0,27.3,30.5,.6,.2,98,66,2.1,.03,.43,-4.7
2016,170,6,14.1,29.1,1.14,.12,0,26.6,30.5,1.2,1.2,50,12,1.9,.06,.47,-3.7
2016,170,7,20.4,19.6,1.96,.76,0,26.2,30.4,.8,.7,19,29,1.5,.12,.46,-4
2016,170,8,25.3,11.6,2.86,1.53,0,26.6,30.3,.4,.1,50,76,1.6,.31,.38,-6.5
2016,170,9,27.4,11.4,3.23,2.3,0,28.1,30.2,1.2,1.1,252,22,2.6,.54,.42,-5.2
2016,170,10,30.7,9.7,3.99,2.96,0,30.1,30.1,2,1.8,268,23,4.1,.76,.43,-4.8
2016,170,11,33.5,7.7,4.78,3.45,0,32.4,30,2.3,2,303,29,4.8,.93,.4,-5.8
2016,170,12,35,7.1,5.23,3.73,0,34.6,29.9,2.2,1.5,296,44,4.4,1.01,.4,-5.7
2016,170,13,36,6.9,5.55,3.78,0,36.8,29.8,2.3,1.7,302,44,6,1.04,.41,-5.3
2016,170,14,37.1,6.7,5.89,3.66,0,38.4,29.7,2.8,2.1,327,38,6.5,1.04,.42,-4.9
2016,170,15,38,6.9,6.18,3.32,0,39.7,29.7,2.8,2.3,299,32,7.2,.95,.46,-3.9
2016,170,16,38.5,6.9,6.33,2.8,0,40.4,29.6,3.5,3.2,308,24,7.2,.85,.47,-3.7
2016,170,17,38.4,6.7,6.33,2.12,0,40.5,29.6,3.5,3.3,290,20,6.2,.66,.45,-4
2016,170,18,38.4,5.9,6.37,1.36,0,40,29.7,3,2.8,310,20,5.7,.43,.4,-5.6
2016,170,19,37.2,7.2,5.9,.58,0,39.1,29.8,3,2.9,309,15,4.6,.21,.45,-4
2016,170,20,33.7,9.6,4.73,.04,0,37.7,29.8,3.2,3.1,340,10,4.7,.16,.5,-2.7
2016,170,21,29.7,11.7,3.69,0,0,36.2,29.9,1.6,1.4,335,26,3.2,.09,.49,-3
2016,170,22,25.8,15.4,2.82,0,0,34.7,30,.7,.3,338,61,1.5,.05,.51,-2.5
2016,170,23,24.5,13.9,2.66,0,0,33.4,30.1,1.7,1.7,2,12,2.7,.08,.43,-4.8
2016,170,24,25,13,2.76,0,0,32.2,30.2,1.2,.7,312,52,3.3,.07,.41,-5.4
2016,171,1,21.8,17.8,2.16,0,0,31.2,30.3,.8,.4,336,57,2,.05,.46,-3.8
2016,171,2,20.8,20,1.97,0,0,30.2,30.4,1,.8,27,36,1.9,.05,.49,-3
2016,171,3,18.1,27.5,1.51,0,0,29.4,30.4,1.1,1,118,19,1.8,.04,.57,-1
